Address 1,Address 2,Address 3,Postcode,Permitted Occupants,Licence Issue Date,Licence Expiry Date,Licence Number,latitude,longitude,geocoded_address,marker-symbol,marker-color
,297,Abbeydale Road,S7 1FJ,5,30-Mar-21,31-May-25,5163,53.3613876,-1.4785076,"297 Abbeydale Rd, Nether Edge, Sheffield S7 1FJ, UK",home,#0F596B
,301,Abbeydale Road,S7 1FJ,6,29-Oct-22,28-Oct-27,6435,53.3613449,-1.4785556,"301 Abbeydale Rd, Nether Edge, Sheffield S7 1FJ, UK",home,#16837A
,384,Abbeydale Road,S7 1FP,5,07-Sep-22,21-Dec-26,5939,53.359531,-1.4803233,"384 Abbeydale Rd, Nether Edge, Sheffield S7 1FP, UK",home,#0F596B
,416,Abbeydale Road,S7 1FQ,5,20-May-22,05-Apr-27,5771,53.3589187,-1.4812881,"416 Abbeydale Rd, Nether Edge, Sheffield S7 1FQ, UK",home,#0F596B
,729,Abbeydale Road,S7 2BG,5,27-Feb-23,14-Dec-27,6127,53.3541415,-1.4855793,"729 Abbeydale Rd, Sheffield S7 2BG, UK",home,#0F596B
,218,Abbeyfield Road,S4 7AZ,6,28-Feb-23,31-Oct-27,6154,53.40245729999999,-1.45816,"218 Abbeyfield Rd, Sheffield S4 7AZ, UK",home,#16837A
,116-118,Abbeyfield Road,S4 7AY,22,07-Feb-22,12-Jan-26,5672,53.4001385,-1.462184,"116 Abbeyfield Rd, Sheffield S4 7AY, UK",home,#DEEDCF
,208-210,Abbeyfield Road,S4 7AZ,5,08-Aug-23,05-Jun-28,6227,53.4022456,-1.4586263,"208 Abbeyfield Rd, Sheffield S4 7AZ, UK",home,#0F596B
,4,Agden Road,S7 1LY,11,01-Nov-21,02-Jun-26,5519,53.3659347,-1.4866938,"4 Agden Rd, Nether Edge, Sheffield S7 1LY, UK",home,#DEEDCF
,4,Ainsley Road,S10 1EU,5,23-Jan-24,12-Nov-28,6302,53.3839798,-1.4998421,"4 Ainsley Rd, Sheffield S10 1EU, UK",home,#0F596B
,14,Ainsley Road,S10 1EU,5,20-Mar-24,04-Sep-28,6348,53.38382439999999,-1.4996202,"Ainsley Court, 14 Ainsley Rd, Sheffield S10 1EU, UK",home,#0F596B
,152,Albert Road,S8 9RA,5,26-Jan-21,25-Jan-26,4983,53.3568258,-1.4715011,"152 Albert Rd, Heeley, Sheffield S8 9RA, UK",home,#0F596B
,14,Alderson Place,S2 4UG,6,22-Nov-21,13-Oct-25,5547,53.3680424,-1.4723663,"14 Alderson Pl, Highfield, Sheffield S2 4UG, UK",home,#16837A
,48,Alderson Road,S2 4UD,5,08-Oct-21,27-Apr-26,5487,53.3679126,-1.4739888,"48 Alderson Rd, Highfield, Sheffield S2, UK",home,#0F596B
,58-60,Aldred Road,S10 1PD,8,09-Feb-23,08-Feb-28,6103,53.389373,-1.5043727,"58 Aldred Rd, Sheffield S10 1PD, UK",home,#48B16D
,84,Andover Street,S3 9EH,7,30-Nov-21,25-Jan-26,5574,53.3934721,-1.4634821,"84 Andover St, Sheffield S3 9EH, UK",home,#1D9A6C
,,Apartment 7 100a Matilda Street,S1 4QF,0,14-Mar-23,08-Jun-27,6156,53.37515699999999,-1.4681697,"7, 100 Matilda St, Sheffield City Centre, Sheffield S1 4QF, UK",home,#0A2F51
,45,Archer Lane,S7 2BU,8,23-Nov-22,13-Jul-27,6059,53.3544716,-1.492498,"45 Archer Ln, Sheffield S7 2BU, UK",home,#48B16D
Murray Building,18,Arley Street,S2 4QP,8,05-Aug-21,11-Apr-26,5414,53.37200910000001,-1.4747199,"18 Arley St, Highfield, Sheffield S2 4QF, UK",home,#48B16D
,25,Arran Road,S10 1WQ,8,05-Jan-22,05-Jun-25,5636,53.38131989999999,-1.5103675,"25 Arran Rd, Sheffield S10, UK",home,#48B16D
,8,Ashdell Road,S10 3DA,5,30-May-22,11-Jan-27,5798,53.3766061,-1.5006514,"8 Ashdell Rd, Sheffield S10 3DA, UK",home,#0F596B
,12,Ashdell Road,S10 3DA,5,27-Jan-21,16-Mar-25,4952,53.3765522,-1.5007724,"12 Ashdell Rd, Sheffield S10 3DA, UK",home,#0F596B
,16,Ashdell Road,S10 3DA,5,24-Nov-22,12-Apr-25,6067,53.3765084,-1.5008961,"16 Ashdell Rd, Sheffield S10 3DA, UK",home,#0F596B
,22,Ashdell Road,S10 3DA,6,02-Sep-21,16-Mar-25,5457,53.3764343,-1.5010342,"22 Ashdell Rd, Sheffield S10, UK",home,#16837A
,35,Ashford Road,S11 8XZ,5,09-Nov-21,15-Jul-26,5536,53.3669028,-1.4960558,"35 Ashford Rd, Sharrow, Sheffield S11 8XZ, UK",home,#0F596B
,14,Ashgate Road,S10 3BZ,8,16-Feb-22,27-Nov-25,5709,53.3765307,-1.5024408,"14 Ashgate Rd, Sheffield S10 3BZ, UK",home,#48B16D
,16,Ashgate Road,S10 3BZ,8,04-Nov-21,11-Sep-25,5525,53.3765028,-1.5025775,"16 Ashgate Rd, Sheffield S10 3BZ, UK",home,#48B16D
Flat,605-607,Attercliffe Road,S9 3RD,5,13-Feb-20,12-Feb-25,4654,53.3932312,-1.4333352,"605-607 Attercliffe Rd, Sheffield S9 3RD, UK",home,#0F596B
,15,Barber Place,S10 1EG,6,26-Feb-21,05-May-25,5068,53.3861727,-1.4968932,"15 Barber Pl, Sheffield S10 1EG, UK",home,#16837A
,35,Barber Road,S10 1EA,6,08-Feb-22,27-Sep-26,5682,53.38559160000001,-1.4946262,"35 Barber Rd, Sheffield S10 1EA, UK",home,#16837A
,39,Barber Road,S10 1EA,5,25-Jul-22,24-Aug-26,5883,53.3856574,-1.4947142,"39 Barber Rd, Sheffield S10 1EA, UK",home,#0F596B
,41,Barber Road,S10 1EA,5,10-Feb-21,27-Apr-25,5017,53.3856595,-1.4947972,"41 Barber Rd, Sheffield S10 1EA, UK",home,#0F596B
,45,Barber Road,S10 1EA,6,16-Dec-20,28-Feb-25,4978,53.3857894,-1.4948782,"45 Barber Rd, Sheffield S10 1EA, UK",home,#16837A
,47,Barber Road,S10 1EA,5,12-Jul-22,08-May-27,5864,53.3857975,-1.4948953,"47 Barber Rd, Sheffield S10 1EA, UK",home,#0F596B
,55,Barber Road,S10 1EA,6,25-Mar-21,22-Feb-25,5184,53.3860135,-1.4953195,"55 Barber Rd, Sheffield S10 1EA, UK",home,#16837A
,62,Barber Road,S10 1EE,6,31-May-21,11-May-25,5327,53.3865175,-1.4954935,"62 Barber Rd, Sheffield S10 1EE, UK",home,#16837A
,71,Barber Road,S10 1EB,5,18-Oct-21,08-Jun-25,5497,53.3863111,-1.4958028,"71 Barber Rd, Sheffield S10 1EB, UK",home,#0F596B
,75,Barber Road,S10 1EB,5,19-Oct-21,30-Nov-25,5499,53.3863417,-1.4959134,"75 Barber Rd, Sheffield S10 1EB, UK",home,#0F596B
,93,Barber Road,S10 1EB,5,22-Nov-22,31-Jul-27,6050,53.3864782,-1.496431,"93 Barber Rd, Sheffield S10 1EB, UK",home,#0F596B
,42-44,Barber Road,S10 1ED,5,01-Oct-21,19-Jan-26,5478,53.3861727,-1.4950028,"42 Barber Rd, Crookesmoor Rd, Sheffield S10 1ED, UK",home,#0F596B
,74a,Barber Road,S10 1EA,5,31-May-21,08-Mar-25,5328,53.3866162,-1.4958906,"74 Barber Rd, Sheffield S10 1EE, UK",home,#0F596B
,365,Barnsley Road,S5 7AA,6,30-May-22,11-Jan-27,5800,53.4058838,-1.4547063,"365 Barnsley Rd, Sheffield S5 7AA, UK",home,#16837A
,9,Bates Street,S10 1NP,5,06-May-21,28-Mar-25,5247,53.3873263,-1.4992784,"9 Bates St, Sheffield S10 1NP, UK",home,#0F596B
,32,Bates Street,S10 1NQ,5,18-Aug-21,28-Feb-25,5434,53.38772489999999,-1.4991545,"32 Bates St, Sheffield S10 1NQ, UK",home,#0F596B
,44,Bates Street,S10 1NQ,5,26-May-21,18-Apr-25,5315,53.38795409999999,-1.4993926,"44 Bates St, Sheffield S10 1NQ, UK",home,#0F596B
,2,Beaufort Road,S10 2ST,6,05-Apr-22,17-Mar-26,5729,53.37922340000001,-1.4972633,"2 Beaufort Rd, Sheffield S10 2ST, UK",home,#16837A
,4,Beaufort Road,S10 2ST,6,22-Jun-23,23-Apr-28,6197,53.3792744,-1.4967558,"4 Beaufort Rd, Broomhall, Sheffield S10 2SU, UK",home,#16837A
,10,Beaufort Road,S10 2ST,7,17-Mar-23,08-Nov-27,6069,53.3790126,-1.4968861,"10 Beaufort Rd, Broomhall, Sheffield S10 2ST, UK",home,#1D9A6C
,18,Beaufort Road,S10 2ST,8,09-Jun-21,15-Jun-25,5341,53.37908359999999,-1.4963863,"18 Beaufort Rd, Broomhall, Sheffield S10 2ST, UK",home,#48B16D
,20,Beaufort Road,S10 2ST,7,12-Jul-23,14-May-28,6210,53.37904469999999,-1.4963409,"20 Beaufort Rd, Broomhall, Sheffield S10 2ST, UK",home,#1D9A6C
,89,Beaumont Road North,S2 1RS,7,16-Jan-24,15-Jan-29,6464,53.3756812,-1.4242997,"89 Beaumont Rd N, Sheffield S2 1RS, UK",home,#1D9A6C
,15,Beech Hill Road,S10 2SA,7,11-Mar-21,20-Jun-25,5107,53.37830109999999,-1.4967666,"15 Beech Hill Rd, Sheffield S10 2SA, UK",home,#1D9A6C
,27,Beech Hill Road,S10 2SA,6,19-May-21,26-Sep-25,5296,53.3781677,-1.4974146,"27 Beech Hill Rd, Sheffield S10 2SA, UK",home,#16837A
,29,Beech Hill Road,S10 2SA,8,08-Feb-22,28-Jun-25,5681,53.3781362,-1.4975066,"29 Beech Hill Rd, Sheffield S10 2SA, UK",home,#48B16D
,30,Beech Hill Road,S10 2SB,7,20-Dec-21,22-Aug-25,5620,53.3783422,-1.4977203,"30 Beech Hill Rd, Sheffield S10 2SB, UK",home,#1D9A6C
,31,Beech Hill Road,S10 2SA,7,23-Feb-21,17-Nov-25,5064,53.3780545,-1.497547,"31 Beech Hill Rd, Sheffield S10 2SA, UK",home,#1D9A6C
,34,Beech Hill Road,S10 2SB,8,10-May-21,16-Feb-25,5261,53.37827249999999,-1.4978534,"34 Beech Hill Rd, Sheffield S10 2SB, UK",home,#48B16D
,52,Beech Hill Road,S10 2SB,6,15-Dec-20,02-Mar-25,4938,53.3782144,-1.4983679,"52 Beech Hill Rd, Sheffield S10 2SB, UK",home,#16837A
,87,Beech Hill Road,S10 2SA,5,28-Oct-20,27-Oct-25,4894,53.3778313,-1.4992134,"87 Beech Hill Rd, Sheffield S10 2SA, UK",home,#0F596B
,189a,Bellhouse Road,S5 6HQ,5,26-Nov-20,27-Nov-25,4917,53.4222343,-1.4437579,"189A Bellhouse Rd, Sheffield S5 6HQ, UK",home,#0F596B
Park House,81,Bernard Street,S2 5PU,18,15-Mar-24,10-Dec-28,6345,53.3827306,-1.4556382,"Park Hall, 81 Bernard St, Sheffield S2 5PU, UK",home,#DEEDCF
The Wharncliffe,127,Bevercotes Road,S5 6HB,21,21-Nov-22,02-May-27,6044,53.4188553,-1.4460847,"127 Bevercotes Rd, Sheffield S5 6HB, UK",home,#DEEDCF
,115,Blair Athol Road,S11 7GD,5,09-Jul-21,16-Mar-25,5372,53.3616468,-1.5089867,"115 Blair Athol Rd, Sheffield S11 7GD, UK",home,#0F596B
,46,Blakeney Road,S10 1FE,0,29-Aug-23,19-Sep-28,6238,53.3820793,-1.5043442,"46 Blakeney Rd, Sheffield S10 1FE, UK",home,#0A2F51
,12,Bolsover Street,S3 7NA,6,17-Aug-21,01-Sep-25,5430,53.3829651,-1.4868603,"12 Bolsover St, Sheffield S3 7NA, UK",home,#16837A
,14,Bolsover Street,S3 7NA,6,02-Aug-22,23-Nov-26,5895,53.3831211,-1.4867646,"14 Bolsover St, Sheffield S3 7NA, UK",home,#16837A
,28,Bower Road,S10 1ER,6,01-Sep-23,23-Jun-28,6244,53.3860119,-1.4965169,"28 Bower Rd, Sheffield S10, UK",home,#16837A
,34,Bower Road,S10 1ER,6,14-Jul-21,11-Feb-25,5383,53.385928,-1.4966193,"34 Bower Rd, Sheffield S10, UK",home,#16837A
,36,Bower Road,S10 1ER,5,12-Apr-22,21-Jul-26,5737,53.3858855,-1.4966705,"36 Bower Rd, Sheffield S10, UK",home,#0F596B
,40,Bower Road,S10 1ER,5,17-Jun-22,01-Jan-27,5841,53.3858123,-1.4967041,"40 Bower Rd, Sheffield S10 1ER, UK",home,#0F596B
,41,Bower Road,S10 1ER,6,25-Oct-21,09-Aug-26,5505,53.3857436,-1.4963133,"41 Bower Rd, Sheffield S10 1ER, UK",home,#16837A
,42,Bower Road,S10 1ER,5,24-Nov-20,02-Feb-25,4905,53.3857763,-1.4968067,"42 Bower Rd, Sheffield S10 1ER, UK",home,#0F596B
,44,Bower Road,S10 1ER,5,25-Feb-21,20-Jun-25,5071,53.385697,-1.4966469,"44 Bower Rd, Sheffield S10 1ER, UK",home,#0F596B
,49,Bower Road,S10 1ER,9,16-Jun-22,05-Feb-27,5836,53.3856073,-1.496518,"49 Bower Rd, Sheffield S10 1ER, UK",home,#74C67A
,52,Bower Road,S10 1ER,5,08-Feb-22,17-Jun-25,5679,53.38553899999999,-1.4968373,"52 Bower Rd, Sheffield S10 1ER, UK",home,#0F596B
,58,Bower Road,S10 1ER,6,17-Feb-21,21-Oct-25,5040,53.3855259,-1.4970727,"58 Bower Rd, Sheffield S10 1ER, UK",home,#16837A
,59,Bower Road,S10 1ER,6,20-Feb-23,13-Apr-25,6123,53.3854441,-1.496744,"59 Bower Rd, Sheffield S10 1ER, UK",home,#16837A
,60,Bower Road,S10 1ER,6,13-Dec-21,16-Mar-25,5600,53.3854063,-1.4969973,"60 Bower Rd, Sheffield S10 1ER, UK",home,#16837A
,65,Bower Road,S10 1ER,6,20-Dec-21,10-May-25,5622,53.3852734,-1.4969589,"65 Bower Rd, Sheffield S10 1ER, UK",home,#16837A
,67,Bower Road,S10 1ER,7,18-Feb-21,01-Jun-25,5047,53.3851779,-1.4969625,"67A Bower Rd, Sheffield S10 1ER, UK",home,#1D9A6C
,70,Bower Road,S10 1ER,5,06-Mar-23,18-Feb-25,6134,53.3852621,-1.4973674,"70 Bower Rd, Sheffield S10 1ER, UK",home,#0F596B
,72,Bower Road,S10 1ER,5,01-Aug-23,19-Feb-25,6224,53.3852347,-1.497426,"72 Bower Rd, Sheffield S10 1ER, UK",home,#0F596B
,73,Bower Road,S10 1ER,9,14-Oct-22,20-Dec-25,5970,53.3850218,-1.4971603,"73 Bower Rd, Sheffield S10 1ER, UK",home,#74C67A
,79,Bower Road,S10 1ER,6,08-Mar-24,27-Nov-27,6333,53.3848682,-1.4974569,"Top Flat Coach House, 79 Bower Rd, Sheffield S10 1ER, UK",home,#16837A
,19a,Bower Road,S10 1ER,9,18-Jul-23,21-Mar-28,6213,53.38609049999999,-1.4958545,"19A Bower Rd, Sheffield S10 1ER, UK",home,#74C67A
,19c,Bower Road,S10 1ER,6,19-Jul-23,13-Jan-28,6218,53.386097,-1.4956336,"19C Bower Rd, Sheffield S10 1ER, UK",home,#16837A
,16,Bowood Road,S11 8YG,5,16-Feb-21,02-Feb-26,5033,53.36682649999999,-1.4936557,"16 Bowood Rd, Sharrow, Sheffield S11 8YG, UK",home,#0F596B
,100,Bradley Street,S10 1PB,5,21-May-24,03-Jan-29,6425,53.3889738,-1.504315,"100 Bradley St, Sheffield S10 1PB, UK",home,#0F596B
,4,Bramwell Drive,S3 7PE,6,16-Oct-23,04-Aug-28,6259,53.3845441,-1.4854163,"4 Bramwell Dr, Sheffield S3 7PE, UK",home,#16837A
,16,Bramwell Drive,S3 7PE,6,17-Feb-23,06-Feb-25,6120,53.3850359,-1.4850419,"16 Bramwell Dr, Sheffield S3 7PE, UK",home,#16837A
,10,Brandreth Close,S6 3JW,8,17-Nov-22,15-Mar-27,6028,53.390293,-1.488394,"10 Brandreth Cl, Sheffield S6 3JW, UK",home,#48B16D
,12,Brandreth Close,S6 3JW,11,24-Mar-23,02-Mar-27,6161,53.3903066,-1.4882241,"12 Brandreth Cl, Sheffield S6 3JW, UK",home,#DEEDCF
,2,Brighton Terrace Road,S10 1NU,5,08-Jun-21,21-Jun-25,5338,53.3866059,-1.503186,"2 Brighton Terrace Rd, Sheffield S10 1NU, UK",home,#0F596B
,36,Brighton Terrace Road,S10 1NU,6,12-Aug-24,11-Aug-29,6465,53.3871867,-1.5036097,"36 Brighton Terrace Rd, Sheffield S10, UK",home,#16837A
,47,Brighton Terrace Road,S10 1NT,5,04-Mar-21,11-May-25,5092,53.3873817,-1.5042133,"47 Brighton Terrace Rd, Sheffield S10 1NT, UK",home,#0F596B
,86,Brighton Terrace Road,S10 1NU,5,24-May-22,06-Jul-25,5776,53.3878348,-1.5041274,"86 Brighton Terrace Rd, Sheffield S10 1NU, UK",home,#0F596B
,1a,Bristol Road,S11 8RL,11,15-Nov-22,21-Nov-27,6005,53.3699978,-1.4988423,"1A Bristol Rd, Broomhall, Sheffield S11 8RL, UK",home,#DEEDCF
,22,Brocco Bank,S11 8RR,12,10-Mar-21,27-Jun-25,5103,53.3713708,-1.5008922,"22 Brocco Bank, Sheffield S11 8RR, UK",home,#DEEDCF
,42,Brocco Bank,S11 8RR,6,09-Jun-22,13-Apr-27,5828,53.37039739999999,-1.5011479,"42 Brocco Bank, Sheffield S11 8RR, UK",home,#16837A
,44,Brocco Bank,S11 8RR,6,12-Nov-21,08-Jun-25,5583,53.3703242,-1.5011751,"44 Brocco Bank, Sheffield S11 8RR, UK",home,#16837A
,56,Brocco Bank,S11 8RR,6,06-Feb-20,05-Feb-25,4623,53.36961969999999,-1.5014642,"56 Brocco Bank, Sheffield S11 8RR, UK",home,#16837A
,58,Brocco Bank,S11 8RR,7,28-Mar-23,29-Oct-25,6162,53.36959659999999,-1.5014786,"58 Brocco Bank, Sheffield S11 8RR, UK",home,#1D9A6C
,62,Brocco Bank,S11 8RR,5,01-Feb-21,14-Mar-25,4988,53.3694617,-1.5015787,"62 Brocco Bank, Sheffield S11 8RR, UK",home,#0F596B
,66,Brocco Bank,S11 8RS,5,18-May-21,02-Mar-26,5292,53.369249,-1.5017055,"66 Brocco Bank, Sheffield S11 8RS, UK",home,#0F596B
,68,Brocco Bank,S11 8RS,5,30-Nov-20,16-Aug-25,4920,53.36912900000001,-1.5017454,"68 Brocco Bank, Sheffield S11 8RS, UK",home,#0F596B
The Albion,4,Brook Drive,S3 7HN,9,05-Apr-24,08-Jan-29,6379,53.383575,-1.4822517,"4 Brook Dr, Sheffield S3 7HN, UK",home,#74C67A
The Albion,4a,Brook Drive,S3 7HN,8,03-Apr-24,03-Jan-29,6381,53.3835576,-1.4820773,"4A Brook Dr, Sheffield S3 7HN, UK",home,#48B16D
,24,Brookfield Road,S7 1DW,6,18-Nov-22,02-Apr-27,6033,53.36178169999999,-1.4798674,"24 Brookfield Rd, Nether Edge, Sheffield S7 1DW, UK",home,#16837A
,5,Broom Street,S10 2DA,5,01-Jun-22,26-Sep-26,5818,53.37520139999999,-1.4844805,"5 Broom St, Broomhall, Sheffield S10 2DA, UK",home,#0F596B
,9,Broom Street,S10 2DA,6,09-Feb-23,24-Feb-28,6109,53.3751165,-1.4842471,"9 Broom St, Broomhall, Sheffield S10 2DA, UK",home,#16837A
,11,Broom Street,S10 2DA,6,10-Feb-23,24-Feb-28,6110,53.3750592,-1.4842132,"11A Broom St, Broomhall, Sheffield S10 2DA, UK",home,#16837A
,15,Broom Street,S10 2DA,6,06-Apr-23,05-May-28,6168,53.3750327,-1.4842185,"15 Broom St, Broomhall, Sheffield S10 2DA, UK",home,#16837A
,17,Broom Street,S10 2DA,6,22-Aug-22,14-Apr-27,5913,53.3749913,-1.4841277,"17A Broom St, Broomhall, Sheffield S10 2DA, UK",home,#16837A
,19,Broom Street,S10 2DA,6,10-Feb-23,25-Feb-28,6112,53.3749479,-1.4841587,"19 Broom St, Broomhall, Sheffield S10 2DA, UK",home,#16837A
,21,Broom Street,S10 2DA,6,02-Mar-23,25-Feb-28,6132,53.3748808,-1.4841059,"21 Broom St, Broomhall, Sheffield S10 2DA, UK",home,#16837A
,23,Broom Street,S10 2DA,6,09-Oct-23,24-Jul-28,6253,53.3748737,-1.4841126,"23 Broom St, Broomhall, Sheffield S10 2DA, UK",home,#16837A
,25,Broom Street,S10 2DA,6,21-Sep-23,24-Apr-28,6247,53.3747895,-1.484037,"25 Broom St, Broomhall, Sheffield S10 2DA, UK",home,#16837A
Flat B,9,Broomgrove Crescent,S10 2LQ,6,02-Oct-23,01-Oct-28,6416,53.37567629999999,-1.4943964,"b, 9 Broomgrove Cres, Broomhall, Sheffield S10 2LQ, UK",home,#16837A
,44,Broomgrove Road,S10 2NA,11,22-Jul-22,27-Feb-25,5877,53.37220500000001,-1.4930936,"Beech House Guest House, 44 Broomgrove Rd, Broomhall, Sheffield S10 2NA, UK",home,#DEEDCF
,47,Broomgrove Road,S10 2NA,8,09-Mar-21,05-Sep-25,5095,53.3716924,-1.4917691,"47 Broomgrove Rd, Broomhall, Sheffield S10 2NA, UK",home,#48B16D
,62,Broomgrove Road,S10 2NA,9,12-Jul-21,23-May-25,5374,53.3716884,-1.4926728,"62 Broomgrove Rd, Broomhall, Sheffield S10 2NA, UK",home,#74C67A
,108,Broomgrove Road,S10 2NA,6,30-Jul-21,06-Mar-26,5407,53.3707913,-1.491944,"108 Broomgrove Rd, Broomhall, Sheffield S10 2NA, UK",home,#16837A
,110,Broomgrove Road,S10 2NA,9,28-Jun-21,19-Sep-25,5359,53.3707609,-1.4918693,"110 Broomgrove Rd, Broomhall, Sheffield S10 2NA, UK",home,#74C67A
,34,Broomhall Place,S10 2DG,8,01-Dec-21,10-Jun-25,5577,53.37423039999999,-1.4851504,"34 Broomhall Pl, Broomhall, Sheffield S10 2DG, UK",home,#48B16D
"Flat D, Fairfield House         ",1,Broomhall Road,S10 2DN,5,08-Apr-24,08-Jan-29,6389,53.3746181,-1.4860576,"d, Fairfield House, 1 Broomhall Rd, Broomhall, Sheffield S10 2DN, UK",home,#0F596B
"The Coach House, Fairfield Hou  ",1,Broomhall Road,S10 2DN,7,08-May-24,28-Jan-29,6405,53.3744871,-1.4862157,"The Coachhouse, 1A Broomhall Rd, Broomhall, Sheffield S10 2DN, UK",home,#1D9A6C
"Flat C, Fairfield House         ",1,Broomhall Road,S10 2DN,6,08-Apr-24,10-Jan-29,6388,53.3746181,-1.4860576,"c, Fairfield House, 1 Broomhall Rd, Broomhall, Sheffield S10 2DN, UK",home,#16837A
"Flat A, Fairfield House         ",1,Broomhall Road,S10 2DN,7,05-Apr-24,23-Jan-29,6386,53.3746181,-1.4860576,"a, Fairfield House, 1 Broomhall Rd, Broomhall, Sheffield S10 2DN, UK",home,#1D9A6C
"Flat B, Fairfield House         ",1,Broomhall Road,S10 2DN,7,03-Apr-24,27-Jan-29,6364,53.3746181,-1.4860576,"b, Fairfield House, 1 Broomhall Rd, Broomhall, Sheffield S10 2DN, UK",home,#1D9A6C
"Flat E, Fairfield House         ",1,Broomhall Road,S10 2DN,6,08-Apr-24,22-Jan-29,6387,53.3746181,-1.4860576,"e, Fairfield House, 1 Broomhall Rd, Broomhall, Sheffield S10 2DN, UK",home,#16837A
"Flat 6, Broomhall Court         ",6,Broomhall Road,S10 2DN,5,19-Feb-24,18-Feb-29,6449,53.3749249,-1.4867354,"6, 6 Broomhall Rd, Broomhall St, Broomhall, Sheffield S10 2DN, UK",home,#0F596B
"Flat 5, Broomhall Court         ",6,Broomhall Road,S10 2DN,5,08-Jun-23,07-Jun-28,6185,53.3749249,-1.4867354,"5, 6 Broomhall Rd, Broomhall St, Broomhall, Sheffield S10 2DN, UK",home,#0F596B
,24,Broomhall Road,S10 2DR,8,08-May-24,03-Jan-29,6409,53.3732125,-1.490633,"Abbeyfield House, 24 Broomhall Rd, Broomhall, Sheffield S10 2DR, UK",home,#48B16D
,24a,Broomhall Road,S10 2DR,6,08-May-24,07-Jan-29,6408,53.37332,-1.4910792,"24A Broomhall Rd, Broomhall, Sheffield S10 2DR, UK",home,#16837A
,192,Broomhall Street,S3 7SQ,6,18-May-22,24-Oct-26,5750,53.3761664,-1.4828185,"192 Broomhall St, Broomhall, Sheffield S3 7SQ, UK",home,#16837A
,194,Broomhall Street,S3 7SQ,6,27-Jul-22,14-Apr-27,5876,53.3761668,-1.482921,"194 Broomhall St, Broomhall, Sheffield S3 7SQ, UK",home,#16837A
Flat C,210,Broomhall Street,S3 7SQ,5,12-Jan-24,01-Nov-28,6300,53.3758256,-1.4837997,"c, 210 Broomhall St, Broomhall, Sheffield S3 7SQ, UK",home,#0F596B
,226,Broomhall Street,S3 7SQ,5,10-Jun-21,17-Jun-25,5346,53.37546039999999,-1.4845799,"226 Broomhall St, Broomhall, Sheffield S3 7SQ, UK",home,#0F596B
,228,Broomhall Street,S3 7SQ,7,04-Oct-21,14-May-26,5482,53.3754571,-1.4846013,"228 Broomhall St, Broomhall, Sheffield S3 7SQ, UK",home,#1D9A6C
,232,Broomhall Street,S3 7SQ,5,03-Apr-24,18-Dec-28,6367,53.3754136,-1.4847844,"232 Broomhall St, Broomhall, Sheffield S3 7SQ, UK",home,#0F596B
,99,Broomspring Lane,S10 2FB,8,26-Oct-20,01-Apr-25,4882,53.3780043,-1.4858156,"99 Broomspring Ln, Broomhall, Sheffield S10 2FB, UK",home,#48B16D
,105,Broomspring Lane,S10 2FD,5,26-Sep-22,29-Aug-26,5952,53.37806089999999,-1.4865587,"105 Broomspring Ln, Broomhall, Sheffield S10 2FD, UK",home,#0F596B
