Address 1,Address 2,Address 3,Postcode,Permitted Occupants,Licence Issue Date,Licence Expiry Date,Licence Number,latitude,longitude,geocoded_address,marker-symbol,marker-color
Flat 1b,1,Abbeydale Road,S7 1FA,7,17-Nov-23,20-Jun-28,6272,53.3661799,-1.4747742,"1b, 1 Abbeydale Rd, Highfield, Sheffield S7 1FA, UK",home,#1D9A6C
Flat 1a,1,Abbeydale Road,S7 1FA,6,17-Nov-23,20-Jun-28,6271,53.3661799,-1.4747742,"1a, 1 Abbeydale Rd, Highfield, Sheffield S7 1FA, UK",home,#16837A
Flat 1c,1,Abbeydale Road,S7 1FA,6,17-Nov-23,20-Jun-28,6273,53.3661799,-1.4747742,"1c, 1 Abbeydale Rd, Highfield, Sheffield S7 1FA, UK",home,#16837A
Flat 1d,1,Abbeydale Road,S7 1FA,6,17-Nov-23,20-Jun-28,6274,53.3661799,-1.4747742,"1d, 1 Abbeydale Rd, Highfield, Sheffield S7 1FA, UK",home,#16837A
Flat 1e,1,Abbeydale Road,S7 1FA,6,17-Nov-23,20-Jun-28,6275,53.3661799,-1.4747742,"1e, 1 Abbeydale Rd, Highfield, Sheffield S7 1FA, UK",home,#16837A
,47,Abbeydale Road,S7 1FA,5,07-Aug-23,08-May-28,6228,53.36552529999999,-1.474637,"47 Abbeydale Rd, Highfield, Sheffield S7 1FA, UK",home,#0F596B
,53,Abbeydale Road,S7 1FA,6,16-Aug-21,16-Aug-26,5428,53.3653888,-1.4746612,"53 Abbeydale Rd, Highfield, Sheffield S7 1FA, UK",home,#16837A
,273,Abbeydale Road,S7 1FJ,6,07-Feb-20,06-Feb-25,5693,53.3619537,-1.4781258,"273 Abbeydale Rd, Nether Edge, Sheffield S7 1FJ, UK",home,#16837A
,285,Abbeydale Road,S7 1FJ,5,16-Oct-23,10-Sep-28,6261,53.3616701,-1.4783698,"285 Abbeydale Rd, Nether Edge, Sheffield S7 1FJ, UK",home,#0F596B
,287,Abbeydale Road,S7 1FJ,5,08-Feb-24,07-Feb-29,6469,53.3616099,-1.4782971,"287 Abbeydale Rd, Nether Edge, Sheffield S7 1FJ, UK",home,#0F596B
